GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "12000","Florida",5,SAINC51,51,"...","Disposable personal income (millions of dollars)","Millions of dollars",2954.6,3103.9,3530.2,3904.3,4384.5,4903.0,5204.7,5948.5,6839.4,7568.1,8302.8,9134.4,9562.1,10142.4,10940.1,11744.0,12936.6,14104.4,15442.1,16919.3,19227.3,22087.9,25273.2,28559.0,32351.3,37875.0,42742.3,47473.6,51512.6,57522.4,65892.7,75217.9,88286.5,102159.9,109537.0,123835.1,139210.3,150504.2,162278.4,175396.5,193507.7,215200.4,230870.1,242322.3,256738.8,271888.0,285959.7,306845.3,323567.9,339638.1,365029.3,382518.5,412750.9,436157.3,460573.8,491312.1,531535.3,572982.5,622572.0,648443.1,653433.4,628849.3,666545.7,694825.1,719787.9,713368.4,765526.6,813340.4,845609.2,903218.9,964278.5
 "12000","Florida",5,SAINC51,52,"...","Population (persons) 1/","Number of persons",2578000,2668000,2810000,2980000,3157000,3310000,3505000,3747000,4047000,4372000,4630000,4808000,5004000,5243000,5458000,5628000,5781000,5954000,6104000,6242000,6433000,6641000,6845353,7163026,7520324,7927099,8317034,8541660,8695356,8888958,9131554,9470585,9839835,10192775,10471405,10749849,11039925,11351120,11667503,11997282,12306400,12637718,13033307,13369798,13650553,13927185,14239444,14537875,14853360,15186304,15486559,15759421,16047515,16356966,16689370,17004085,17415318,17842038,18166990,18367842,18527305,18652644,18845785,19093352,19326230,19563166,19860330,20224249,20629982,20976812,21299325
 "12000","Florida",5,SAINC51,53,"...","Per capita disposable personal income (dollars) 2/","Dollars",1146,1163,1256,1310,1389,1481,1485,1588,1690,1731,1793,1900,1911,1934,2004,2087,2238,2369,2530,2711,2989,3326,3692,3987,4302,4778,5139,5558,5924,6471,7216,7942,8972,10023,10461,11520,12610,13259,13909,14620,15724,17028,17714,18125,18808,19522,20082,21107,21784,22365,23571,24272,25721,26665,27597,28894,30521,32114,34269,35303,35269,33714,35368,36391,37244,36465,38546,40216,40989,43058,45273
 "13000","Georgia",5,SAINC51,51,"...","Disposable personal income (millions of dollars)","Millions of dollars",3039.2,3070.6,3550.5,4062.8,4334.0,4496.3,4501.5,4955.2,5293.4,5454.8,5692.2,6047.5,6278.5,6567.9,7022.9,7631.0,8320.3,9166.0,10053.5,10977.1,11973.5,13147.0,14519.2,16197.5,17928.6,20408.4,22369.6,24632.4,27155.8,29844.9,33645.0,37198.6,41621.2,46954.7,51135.4,55913.6,63705.3,69268.2,75694.2,81076.5,88904.0,95405.5,102154.5,107942.4,117136.5,123924.0,133252.9,143493.7,154032.0,163024.7,178104.4,189827.3,204991.5,216147.3,227768.1,238585.8,252458.1,265480.5,281581.8,293422.1,296851.6,298146.6,304145.8,322574.6,332290.3,333850.2,357182.0,376600.0,391074.7,412760.2,437374.2
 "13000","Georgia",5,SAINC51,52,"...","Population (persons) 1/","Number of persons",3259000,3325000,3458000,3531000,3584000,3558000,3602000,3636000,3701000,3766000,3804000,3868000,3956000,4015000,4086000,4172000,4258000,4332000,4379000,4408000,4482000,4551000,4605421,4710272,4807151,4906940,4994870,5058535,5126155,5211771,5286148,5391265,5486174,5568346,5649788,5728248,5834943,5962639,6084645,6208479,6316139,6411117,6512602,6653005,6817203,6978240,7157165,7328413,7501069,7685099,7863536,8045965,8227303,8377038,8508256,8622793,8769252,8925922,9155813,9349988,9504843,9620846,9711810,9801578,9901496,9973326,10069001,10181111,10304763,10413055,10519475
 "13000","Georgia",5,SAINC51,53,"...","Per capita disposable personal income (dollars) 2/","Dollars",933,923,1027,1151,1209,1264,1250,1363,1430,1448,1496,1563,1587,1636,1719,1829,1954,2116,2296,2490,2671,2889,3153,3439,3730,4159,4479,4869,5297,5726,6365,6900,7587,8432,9051,9761,10918,11617,12440,13059,14076,14881,15686,16225,17182,17759,18618,19580,20535,21213,22649,23593,24916,25802,26770,27669,28789,29743,30754,31382,31232,30990,31317,32910,33560,33474,35473,36990,37951,39639,41578
 "15000","Hawaii *",8,SAINC51,51,"...","Disposable personal income (millions of dollars)","Millions of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),1406.8,1526.3,1664.7,1782.8,1963.6,2165.8,2315.9,2507.4,2799.8,3160.4,3687.3,4061.2,4418.7,4906.1,5599.1,6222.5,6661.5,7179.4,7896.0,8817.1,10091.9,10930.3,11786.0,12924.0,13866.4,14685.1,15553.1,16361.6,17976.1,19877.4,21723.8,22870.6,25106.1,26067.4,26702.3,27481.7,27342.6,28228.6,28666.6,29622.4,31336.2,32734.5,34908.5,36790.1,39661.1,42188.9,45127.7,47513.6,50135.7,50916.4,52409.3,54602.6,56781.9,56949.0,60081.2,62809.1,64966.2,67402.5,70295.5
 "15000","Hawaii *",8,SAINC51,52,"...","Population (persons) 1/","Number of persons",(NA),(NA),499000,502000,495000,499000,504000,529000,548000,573000,605000,622000,642000,659000,684000,682000,700000,704000,710000,723000,734000,743000,762920,791580,818104,841851,858121,875052,892335,915749,928816,950050,967710,978195,993780,1012717,1027922,1039698,1051762,1067917,1079827,1094588,1113491,1136754,1158613,1172838,1187536,1196854,1203755,1211640,1215233,1210300,1213519,1225948,1239613,1251154,1273569,1292729,1309731,1315675,1332213,1346717,1363963,1379252,1394905,1408453,1414862,1422484,1428105,1424203,1420491
 "15000","Hawaii *",8,SAINC51,53,"...","Per capita disposable personal income (dollars) 2/","Dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),2191,2316,2434,2614,2805,3076,3262,3468,3814,4254,4833,5131,5401,5828,6525,7111,7465,7840,8501,9281,10429,11174,11860,12762,13490,14124,14788,15321,16647,18160,19510,20119,21669,22226,22485,22962,22714,23298,23589,24475,25823,26701,28161,29405,31142,32636,34456,36113,37633,37808,38424,39589,40707,40434,42464,44155,45491,47326,49487
 "16000","Idaho",7,SAINC51,51,"...","Disposable personal income (millions of dollars)","Millions of dollars",694.6,690.8,749.0,827.3,900.7,872.1,888.6,940.9,1019.0,1092.1,1101.5,1163.3,1182.6,1259.4,1348.7,1375.2,1439.7,1641.2,1654.4,1752.5,1864.1,2142.5,2392.5,2616.1,3005.8,3447.2,4026.3,4399.3,4901.3,5343.3,6123.4,6678.8,7511.4,8186.3,8693.1,9578.1,10229.8,10786.6,11062.9,11533.3,12458.3,13561.4,14585.9,15357.1,16796.4,18451.0,19746.5,21207.6,22482.6,23352.8,25297.1,26754.6,28731.8,30016.7,31851.7,33179.8,35770.0,37519.9,41081.1,43697.5,45078.1,44610.7,46198.1,48412.4,51198.1,52853.9,55989.5,59336.6,61486.2,65031.4,69444.1
