GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "22000","Louisiana",5,SAINC91,20,"...","Outflows of earnings","Thousands of dollars",673711,716260,745838,770346,823042,870262,919225,991590,1065603,1096792,1155673,1243759,1299958,1371663,1455641,1525496,1722858,1887189,2071606,2035170,2128616,2210022,2336258,2477372,2768177,2811416,2828906,3048632,3121775
 "22000","Louisiana",5,SAINC91,30,"...","Adjustment for residence","Thousands of dollars",-110807,-126492,-124464,-128651,-148157,-176421,-203885,-218457,-236281,-216713,-229986,-272042,-298715,-348643,-382581,-361124,-424187,-451983,-496665,-483958,-513834,-414136,-348201,-410647,-561462,-598211,-755358,-969854,-915746
 "23000","Maine",1,SAINC91,10,"...","Inflows of earnings","Thousands of dollars",406130,410007,448353,482099,528964,587403,637634,716535,794684,874995,1007624,1010892,997081,1006428,1069164,1102194,1167511,1199052,1200749,1182392,1241829,1341178,1399926,1445282,1529298,1621989,1667513,1719620,1789459
 "23000","Maine",1,SAINC91,20,"...","Outflows of earnings","Thousands of dollars",335304,321826,316334,290833,278110,269585,266413,271746,276003,290607,306465,298471,320380,349855,386869,412962,445032,476138,495033,494628,512390,544930,568067,574894,601160,634303,669722,708537,747389
 "23000","Maine",1,SAINC91,30,"...","Adjustment for residence","Thousands of dollars",70826,88181,132019,191266,250854,317818,371221,444789,518681,584388,701159,712421,676701,656573,682295,689232,722479,722914,705716,687764,729439,796248,831859,870388,928138,987686,997791,1011083,1042070
 "24000","Maryland",2,SAINC91,10,"...","Inflows of earnings","Thousands of dollars",16462974,17202308,18385788,18956768,19594343,20026983,20725772,21842124,23273264,25676785,27988508,29506069,30758594,32566555,34791086,36788871,37464213,39035403,39884448,39820170,41355370,42855640,43085107,42510026,43351839,44742022,46024634,47881730,50295005
 "24000","Maryland",2,SAINC91,20,"...","Outflows of earnings","Thousands of dollars",4348167,4542537,4967132,5318061,5558856,6024226,6350023,7534549,7604962,8929943,8998442,9638558,10525923,11468409,12245283,13181477,14515123,15420792,16807884,16587923,17723995,19577288,20144112,19607869,21264894,21903469,23286095,23994130,24305678
 "24000","Maryland",2,SAINC91,30,"...","Adjustment for residence","Thousands of dollars",12114807,12659771,13418656,13638707,14035487,14002757,14375749,14307575,15668302,16746842,18990066,19867511,20232671,21098146,22545803,23607394,22949090,23614611,23076564,23232247,23631375,23278352,22940995,22902157,22086945,22838553,22738539,23887600,25989327
 "25000","Massachusetts",1,SAINC91,10,"...","Inflows of earnings","Thousands of dollars",2774609,2766724,2946619,3068892,3217624,3434433,3643550,3960966,4447166,4743382,5214991,5479058,5612438,5883703,6301999,6660767,7109902,7540752,7775216,7548479,7953336,8525868,8937274,9212742,9688013,10095283,10246049,10653604,10926145
 "25000","Massachusetts",1,SAINC91,20,"...","Outflows of earnings","Thousands of dollars",4848453,5004045,5292148,5630306,5981966,6260881,6737432,7362966,8048995,8928735,10264895,10675881,10700672,10974677,11890403,12087152,12807046,13651384,13852898,13020856,13949825,15174814,16317404,16554289,16628163,17910699,18884776,19899022,21456632
